"","lat","lon","type"
"222",37.6164638,127.0507616,"bell"
"223",37.6143944,127.0495646,"bell"
"224",37.6097454,127.0489374,"bell"
"225",37.6090283,127.0498458,"bell"
"226",37.6164996,127.0547744,"bell"
"227",37.6133318,127.0595479,"bell"
"228",37.6156478,127.0573326,"bell"
"229",37.6151148,127.0589625,"bell"
"230",37.6099117,127.0607043,"bell"
"231",37.6094614,127.0599432,"bell"
"232",37.6046275,127.0602906,"bell"
"233",37.6118558,127.0656499,"bell"
"234",37.6107579,127.056158,"bell"
"235",37.6078163,127.0575911,"bell"
"236",37.586393,127.0099034,"bell"
"237",37.611375,127.0103221,"bell"
"238",37.6049353,127.0505729,"bell"
"239",37.6157635,127.0588444,"bell"
"240",37.5993596,127.0081609,"bell"
"241",37.6137145,127.0088673,"bell"
"242",37.581005,127.0064414,"bell"
"243",37.5816688,127.0089289,"bell"
"244",37.5813477,127.0083433,"bell"
"245",37.58169765,127.0084819,"bell"
"246",37.5823861,127.0072177,"bell"
"247",37.5896872,127.0004326,"bell"
"248",37.5844734,127.009536,"bell"
"249",37.593239,127.0186315,"bell"
"250",37.6029505,127.0288913,"bell"
"251",37.5991587,127.012446,"bell"
"252",37.5880283,127.0214548,"bell"
"253",37.5784711,127.0196512,"bell"
"254",37.6009971,127.0175682,"bell"
"255",37.6080622,127.0110082,"bell"
"256",37.6104812,127.0020851,"bell"
"257",37.6138189,126.9980829,"bell"
"258",37.6128612,127.0096138,"bell"
"259",37.6039883,127.0241643,"bell"
"260",37.60566172,127.0248197,"bell"
"261",37.5953534,127.0366326,"bell"
"262",37.6108041,127.0058569,"bell"
"263",37.5877986,127.0298661,"bell"
"264",37.5986321,127.0274991,"bell"
"265",37.607012,127.0352115,"bell"
"266",37.590377,127.0204367,"bell"
"267",37.61087224,127.0407001,"bell"
"268",37.5997425,127.0212097,"bell"
"269",37.5979611,127.0154701,"bell"
"270",37.6035733,127.0391484,"bell"
"271",37.610069,127.0085045,"bell"
"272",37.6119758,127.0063374,"bell"
"273",37.60013894,127.0111157,"bell"
"274",37.5927196,127.0037423,"bell"
"275",37.5836177,127.0109558,"bell"
"276",37.6221226,127.0491196,"bell"
"277",37.6091683,127.006026,"bell"
"278",37.6095976,127.0053271,"bell"
"279",37.6094378,127.0057132,"bell"
"280",37.6095691,127.0066549,"bell"
"281",37.6100604,127.0061421,"bell"
"282",37.61778729,127.0433498,"bell"
"283",37.6173007,127.0424889,"bell"
"284",37.6178041,127.0418199,"bell"
"285",37.6027026,127.0131256,"bell"
"286",37.6062798,127.0113115,"bell"
"287",37.5987793,127.0051608,"bell"
"288",37.6070632,127.003218,"bell"
"289",37.591867,127.0017902,"bell"
"290",37.5856308,127.0077623,"bell"
"291",37.5823551,127.0084556,"bell"
"292",37.59212374,127.0109153,"bell"
"293",37.5929962,127.0151142,"bell"
"294",37.595236,127.0148843,"bell"
"295",37.5948605,127.0184812,"bell"
"296",37.5859302,127.0297998,"bell"
"297",37.5819205,127.0184461,"bell"
"298",37.6049201,127.0132424,"bell"
"299",37.603178,127.0124319,"bell"
"300",37.61077449,127.0078193,"bell"
"301",37.61837907,127.002211,"bell"
"302",37.6108638,127.0067487,"bell"
"303",37.6116153,127.0070717,"bell"
"304",37.6123376,127.0071368,"bell"
"305",37.5867708,127.0201907,"bell"
"306",37.5812846,127.0198833,"bell"
"307",37.6098952,127.0122264,"bell"
"308",37.6064002,127.0014261,"bell"
"309",37.6059002,127.0280851,"bell"
"310",37.6073643,127.006759,"bell"
"311",37.6109755,127.0286035,"bell"
"312",37.6002561,127.0346702,"bell"
"313",37.60339182,127.0364154,"bell"
"314",37.6037442,127.0346942,"bell"
"315",37.6045533,127.0426591,"bell"
"316",37.6141275,127.0393037,"bell"
"317",37.6156589,127.0499461,"bell"
"318",37.6132249,127.050139,"bell"
"319",37.6112352,127.0660167,"bell"
"320",37.6135144,127.0649496,"bell"
"321",37.6106043,127.058291,"bell"
"322",37.58200014,127.0113123,"bell"
"323",37.5959766,127.0242021,"bell"
"324",37.6109323,127.0131958,"bell"
"325",37.607587,127.0240618,"bell"
"326",37.6072194,127.0001659,"bell"
"327",37.5976781,127.0300368,"bell"
"328",37.5983016,127.028612,"bell"
"329",37.5964183,127.0328729,"bell"
"330",37.6032747,127.0334727,"bell"
"331",37.6046736,127.0345282,"bell"
"332",37.6056779,127.0406998,"bell"
"333",37.6032037,127.0395722,"bell"
"334",37.6180229,127.0496861,"bell"
"335",37.6145554,127.0458428,"bell"
"336",37.6156331,127.0445197,"bell"
"337",37.6120601,127.0389203,"bell"
"338",37.6079257,127.0484328,"bell"
"339",37.61283492,127.0534453,"bell"
"340",37.6141164,127.0608723,"bell"
"341",37.6151645,127.0566036,"bell"
"342",37.6077867,127.059304,"bell"
"343",37.6058078,127.0602859,"bell"
"344",37.611972,127.0612209,"bell"
"345",37.5923647,126.9924009,"bell"
"346",37.5926466,127.0044917,"bell"
"347",37.5872627,127.0063875,"bell"
"348",37.5872453,127.0073196,"bell"
"349",37.5941307,127.0154492,"bell"
